temperature,mu_b,mu_s,mu_q,nb,ns,nq,epsilon,pressure,entropy
nan,2.815925926077000e+03,nan,nan,1.637000000000000e+00,nan,nan,2.639255062546000e+03,1.970415678442000e+03,nan
nan,2.835904314295000e+03,nan,nan,1.647000000000000e+00,nan,nan,2.667863353340000e+03,2.002871052303000e+03,nan
nan,2.855303031636000e+03,nan,nan,1.657000000000000e+00,nan,nan,2.695910697257000e+03,2.035326426164000e+03,nan
nan,2.875179921945000e+03,nan,nan,1.667000000000000e+00,nan,nan,2.724518988052000e+03,2.068405941830000e+03,nan
nan,2.895154253561000e+03,nan,nan,1.677000000000000e+00,nan,nan,2.753688225725000e+03,2.101485457496000e+03,nan
nan,2.915261753625000e+03,nan,nan,1.687000000000000e+00,nan,nan,2.782857463398000e+03,2.135189114967000e+03,nan
nan,2.935132276670000e+03,nan,nan,1.697000000000000e+00,nan,nan,2.812026701071000e+03,2.168892772438000e+03,nan
nan,2.955135624170000e+03,nan,nan,1.707000000000000e+00,nan,nan,2.841195938745000e+03,2.203220571714000e+03,nan
nan,2.975596177106000e+03,nan,nan,1.717000000000000e+00,nan,nan,2.870926123296000e+03,2.238172512795000e+03,nan
nan,2.995819780963000e+03,nan,nan,1.727000000000000e+00,nan,nan,2.900656307848000e+03,2.273124453876000e+03,nan
nan,3.016133468183000e+03,nan,nan,1.737000000000000e+00,nan,nan,2.930947439278000e+03,2.308076394957000e+03,nan
nan,3.036571865226000e+03,nan,nan,1.747000000000000e+00,nan,nan,2.961238570707000e+03,2.343652477843000e+03,nan
nan,3.056777611193000e+03,nan,nan,1.757000000000000e+00,nan,nan,2.991529702137000e+03,2.379228560729000e+03,nan
nan,3.077425334389000e+03,nan,nan,1.767000000000000e+00,nan,nan,3.022381780445000e+03,2.415428785420000e+03,nan
nan,3.097840669029000e+03,nan,nan,1.777000000000000e+00,nan,nan,3.053233858754000e+03,2.451629010111000e+03,nan
nan,3.118376784370000e+03,nan,nan,1.787000000000000e+00,nan,nan,3.084085937062000e+03,2.488453376607000e+03,nan
nan,3.139343821456000e+03,nan,nan,1.797000000000000e+00,nan,nan,3.115498962248000e+03,2.525901884908000e+03,nan
nan,3.160078793937000e+03,nan,nan,1.807000000000000e+00,nan,nan,3.146911987435000e+03,2.563350393209000e+03,nan
